prompt,type
"A handwritten note taped to a bouquet of flowers: ""Just because. Thinking of you and sending smiles your way.""",long
"A bookmark with a pressed flower and an inspirational quote: ""Bloom where you are planted. Embrace your unique beauty.""",long
"A t-shirt printed with the text: ""Rock 'n' Roll lives on! Legends never die.""",long
"A hand-painted sign hung above a bakery's display case: ""Freshly baked treats. Made with love, guaranteed to sweeten your day.""",long
"A poster collage showcasing a musician's iconic album covers: ""The soundtrack of a generation. Music that shaped history.""",long
"A vintage letter opener with an ornately carved handle: ""Opening possibilities. Unlocking secrets, one letter at a time.""",long
"A handwritten note left on a park bench: ""You are stronger than you think. Believe in yourself, your dreams are within reach.""",long
"A brightly colored festival flag billowing in the wind: ""Celebrate life! Music, laughter, and good times with great people.""",long
"A custom phone case printed with a meaningful quote: ""She believed she could, so she did. Unstoppable determination.""",long
"A dog tag etched with a lost pet's name and contact information: ""Buddy - If found, please call 555-1234. Desperately missed.""",long
"A weathered sign pointing towards a scenic overlook: ""Breathtaking views ahead! Take a moment, soak it all in.""",long
"A restaurant menu with tantalizing descriptions of signature dishes: ""Taste the flavors. Culinary creations that delight the senses.""",long
"A welcome sign crafted from seashells found on the beach: ""Seas the day! Relax and unwind, ocean air soothes the soul.""",long
"A photo of a child's drawing of their family, with the caption: ""Home is where the love is. Pure joy captured in crayon.""",long
"A poster advertising a summer carnival with vibrant colors: ""Step right up! Thrills, chills, and cotton candy delights await.""",long
"A handwritten label on a homemade jar of jam: ""Strawberry sunshine. Made with summer sweetness and love.""",long
"A birthday card filled with well wishes and confetti: ""Happy Birthday! Celebrate you, this is your day to sparkle.""",long
"A framed nautical chart with the directions and coordinates: ""Follow the marked channel. Beware of shallow waters. North: 0 degrees.""",long
